公司,年月,TCRI,總分,規模,獲利,安全,效率,CFO,CFO不一致,利息支出率,資產報酬%,營業利益%,借款息%,平均收款天增減,平均售貨天增減,借款依存度%,營收
2025 千興,2017/12/29,8,460,22,42,70,79,6.49,,0.42,6.8,4.04,2.24,-1,0,15,36
1453 大將,2017/12/29,7,256,1,-11,100,-40,-0.93,,2.86,-2.74,-72.31,1.89,-6,-396,2,1
3701 大眾控,2017/12/29,9,359,60,-7,84,22,8.16,,0.76,-1.34,-5.1,2.13,8,8,59,78
1611 中電,2017/12/29,7,360,37,-10,100,7,-0.23,,0.65,-5.42,-1.57,1.6,10,-11,17,27
9917 中保,2017/12/29,3,839,97,94,91,91,34.13,,0.28,11.15,17.25,0.96,0,-4,35,131
2474 可成,2017/12/29,2,879,140,93,100,21,328.62,+,0.34,11.05,36.78,0.77,-14,2,36,933
2103 台橡,2017/12/29,4,633,140,19,77,64,15.91,,0.59,2.93,4,1.93,-4,-7,51,318
1301 台塑,2017/12/29,3,886,140,73,100,88,460.7,,0.74,11,10.82,1.81,1,-3,23,2067
6464 台數科,2017/12/29,5,,,,,,,-,,,,,,,,
2611 志信,2017/12/29,8,286,13,0,76,11,-0.27,,2.34,0.99,-1.89,1.69,12,2,48,10
1201 味全,2017/12/29,9,126,120,16,-41,-40,9.85,,2.93,2.62,1.39,2.54,1,-2,241,177
2020 美亞,2017/12/29,7,490,42,55,72,26,1.81,,0.67,7.05,7.89,1.9,-2,1,49,49
2504 國產,2017/12/29,6,495,119,1,86,15,8.74,,1.04,0.7,0.03,1.8,52,3,41,164
9919 康那香,2017/12/29,6,388,35,13,84,27,4.39,,1.08,2.53,2.62,1.93,3,5,75,37
3027 盛達,2017/12/29,7,313,8,-25,98,39,3.88,,1.13,-9.36,-31.56,2.67,19,9,33,8
1216 統一,2017/12/29,3,747,140,39,87,89,469.19,,0.43,4.09,6.7,1.81,0,0,44,3999
3041 揚智,2017/12/29,6,366,31,-20,100,55,-5.01,,0,-8.69,-18.07,0,-3,7,0,32
1707 葡萄王,2017/12/29,4,803,69,120,88,41,22.19,,0.19,20.12,24.23,1.51,1,-3,16,94
2062 橋椿,2017/12/29,5,346,64,22,48,9,3.54,,1.17,2.22,6.31,1.23,-10,17,115,60
4141 龍燈-KY,2017/12/29,8,224,83,6,37,-32,5.12,,4.11,0.84,3.94,4.85,-5,-26,136,96
1310 台苯,2017/12/29,7,738,84,66,95,87,4.58,+,0.2,9.85,9.27,1.99,7,-3,18,148
1902 台紙,2017/12/29,5,461,41,23,100,10,3.54,,0.37,2.48,7.34,2.13,10,28,8,30
4956 光鋐,2017/12/29,7,425,13,46,100,-40,3.42,,0.61,2.34,20.26,1.14,5,10,34,12
