公司,年月,TCRI,總分,CFO,CFO不一致,利息支出率,資產報酬%,營業利益%,借款息%,平均收款天增減,平均售貨天增減,借款依存度%,營收,TSE產業別,c_0,c_1,c_2,c_3,c_4
1101 台泥,2008/12/31,3.0,622.0,80.43,0,3.51,2.93,6.64,3.72,-2.0,-2.0,88.0,785.0,1,0.0,0.0,0.0,0.0,0.0
1201 味全,2008/12/31,5.0,621.0,10.75,0,0.54,4.62,4.04,3.27,-2.0,1.0,63.0,202.0,2,0.0,0.0,0.0,0.0,0.0
1210 大成,2008/12/31,4.0,719.0,23.25,0,0.42,5.93,1.96,4.42,-5.0,-9.0,43.0,712.0,2,0.0,0.0,0.0,0.0,0.0
1215 卜蜂,2008/12/31,4.0,582.0,1.77,0,0.27,5.49,2.37,3.73,0.0,-1.0,38.0,154.0,2,0.0,0.0,0.0,0.0,0.0
1216 統一,2008/12/31,4.0,618.0,178.78,0,1.38,4.02,4.95,3.56,-1.0,1.0,125.0,2997.0,2,0.0,0.0,0.0,0.0,0.0
1218 泰山,2008/12/31,6.0,332.0,-5.33,0,1.43,0.14,-1.49,3.2,12.0,14.0,112.0,86.0,2,0.0,0.0,0.0,0.0,0.0
1220 台榮,2008/12/31,6.0,354.0,1.82,0,0.93,-6.41,-5.66,4.9,4.0,5.0,15.0,27.0,2,0.0,0.0,0.0,0.0,0.0
1227 佳格,2008/12/31,4.0,663.0,14.16,0,0.85,9.35,8.99,5.93,-8.0,-6.0,42.0,136.0,2,0.0,0.0,0.0,0.0,0.0
1232 大統益,2008/12/31,4.0,672.0,0.5,1,0.15,11.64,3.85,2.76,-6.0,0.0,30.0,171.0,2,0.0,0.0,0.0,0.0,0.0
1233 天仁,2008/12/31,5.0,536.0,2.43,0,0.04,8.92,9.3,3.9,0.0,1.0,0.0,18.0,2,0.0,0.0,0.0,0.0,0.0
1236 宏亞,2008/12/31,5.0,531.0,2.0,0,0.23,7.12,8.88,2.54,6.0,-3.0,11.0,20.0,2,8.000003814697267,2.441518783569336,0.5584775805473328,1.5351758753112676e-10,1.857580755881827e-08
1301 台塑,2008/12/31,2.0,749.0,396.01,0,1.39,6.52,3.53,3.26,-3.0,-7.0,52.0,2002.0,3,0.0,0.0,0.0,0.0,0.0
1307 三芳,2008/12/31,5.0,682.0,14.81,0,0.41,10.35,9.17,1.58,-4.0,-18.0,52.0,83.0,3,0.0,0.0,0.0,0.0,0.0
1309 台達化,2008/12/31,6.0,304.0,3.89,0,1.2,-13.58,-6.77,4.43,7.0,-6.0,160.0,157.0,3,0.0,0.0,0.0,0.0,0.0
1310 台苯,2008/12/31,5.0,437.0,-0.91,0,0.59,-7.07,-3.94,3.28,-3.0,-3.0,81.0,198.0,3,0.0,0.0,0.0,0.0,0.0
1314 中石化,2008/12/31,6.0,606.0,24.38,0,1.77,-1.95,-0.8,3.59,-2.0,-4.0,85.0,330.0,3,0.0,0.0,0.0,0.0,0.0
1316 上曜,2008/12/31,7.0,381.0,0.74,0,0.0,1.78,0.59,0.0,7.0,13.0,0.0,9.0,21,0.0,0.0,0.0,0.0,0.0
1321 大洋,2008/12/31,6.0,420.0,-0.45,0,0.15,-0.2,-0.44,1.47,0.0,2.0,30.0,56.0,3,0.0,0.0,0.0,0.0,0.0
1323 永裕,2008/12/31,6.0,435.0,4.16,0,2.05,5.41,6.89,4.1,-9.0,-1.0,97.0,22.0,3,0.0,0.0,0.0,0.0,0.0
1326 台化,2008/12/31,2.0,573.0,233.26,0,1.65,2.49,-1.3,3.19,-2.0,1.0,79.0,2906.0,3,0.0,0.0,0.0,0.0,0.0
1413 宏洲,2008/12/31,7.0,264.0,0.06,0,0.63,-8.75,-4.11,3.01,-2.0,6.0,51.0,36.0,4,0.0,0.0,0.0,0.0,0.0
1414 東和,2008/12/31,7.0,218.0,-1.21,0,1.72,-3.72,-2.49,3.86,-6.0,-5.0,119.0,40.0,4,7.0,6.915070287050531e-24,8.079152716842022e-15,9.059594968781092e-24,1.9644314933086917e-20
1432 大魯閣,2008/12/31,0.0,-76.0,2.44,0,2.89,-3.4,-10.27,2.94,13.0,3.0,184.0,19.0,18,0.0,0.0,0.0,0.0,0.0
1442 名軒,2008/12/31,8.0,538.0,-2.32,1,3.08,9.19,21.13,3.44,-14.0,-700.0,59.0,17.0,14,4.000234127044679,9.698291592030726e-08,0.9943476319313048,1.71154626929515e-12,0.005418133921921253
1447 力鵬,2008/12/31,6.0,390.0,15.9,0,1.33,-12.09,-5.38,4.2,-3.0,-1.0,95.0,207.0,4,0.0,0.0,0.0,0.0,0.0
1449 佳和,2008/12/31,0.0,60.0,1.88,0,3.37,-6.12,-9.94,5.4,-4.0,-11.0,192.0,65.0,4,0.0,0.0,0.0,0.0,0.0
1451 年興,2008/12/31,4.0,472.0,11.64,0,0.51,-2.45,-3.5,3.28,1.0,3.0,22.0,136.0,4,12.127906799316404,1.0509101855404881e-07,1.872061967849732,5.973731925790204e-11,3.1702038540970534e-05
