公司,年月,TCRI,總分,規模,獲利,安全,效率,CFO,CFO不一致,利息支出率,資產報酬%,營業利益%,借款息%,平均收款天增減,平均售貨天增減,借款依存度%,營收,TSE產業別
1101 台泥,2008/12/31,3,622.0,140.0,25.0,61.0,85.0,80.43,,3.51,2.93,6.64,3.72,-2.0,-2.0,88.0,785.0,1
1201 味全,2008/12/31,5,621.0,105.0,38.0,74.0,78.0,10.75,,0.54,4.62,4.04,3.27,-2.0,1.0,63.0,202.0,2
1210 大成,2008/12/31,4,719.0,140.0,33.0,82.0,94.0,23.25,,0.42,5.93,1.96,4.42,-5.0,-9.0,43.0,712.0,2
1215 卜蜂,2008/12/31,4,582.0,72.0,31.0,86.0,87.0,1.77,,0.27,5.49,2.37,3.73,0.0,-1.0,38.0,154.0,2
1216 統一,2008/12/31,4,618.0,140.0,34.0,49.0,89.0,178.78,,1.38,4.02,4.95,3.56,-1.0,1.0,125.0,2997.0,2
1218 泰山,2008/12/31,6,332.0,68.0,-2.0,49.0,55.0,-5.33,,1.43,0.14,-1.49,3.2,12.0,14.0,112.0,86.0,2
1220 台榮,2008/12/31,6,354.0,19.0,-14.0,100.0,60.0,1.82,,0.93,-6.41,-5.66,4.9,4.0,5.0,15.0,27.0,2
1227 佳格,2008/12/31,4,663.0,82.0,66.0,84.0,47.0,14.16,,0.85,9.35,8.99,5.93,-8.0,-6.0,42.0,136.0,2
1232 大統益,2008/12/31,4,672.0,72.0,60.0,85.0,93.0,0.5,+,0.15,11.64,3.85,2.76,-6.0,0.0,30.0,171.0,2
1233 天仁,2008/12/31,5,536.0,12.0,62.0,100.0,28.0,2.43,,0.04,8.92,9.3,3.9,0.0,1.0,0.0,18.0,2
1236 宏亞,2008/12/31,5,531.0,14.0,56.0,91.0,64.0,2.0,,0.23,7.12,8.88,2.54,6.0,-3.0,11.0,20.0,2
1301 台塑,2008/12/31,2,749.0,140.0,38.0,87.0,94.0,396.01,,1.39,6.52,3.53,3.26,-3.0,-7.0,52.0,2002.0,3
1307 三芳,2008/12/31,5,682.0,64.0,73.0,90.0,67.0,14.81,,0.41,10.35,9.17,1.58,-4.0,-18.0,52.0,83.0,3
1309 台達化,2008/12/31,6,304.0,86.0,-20.0,36.0,86.0,3.89,,1.2,-13.58,-6.77,4.43,7.0,-6.0,160.0,157.0,3
1310 台苯,2008/12/31,5,437.0,99.0,-17.0,66.0,92.0,-0.91,,0.59,-7.07,-3.94,3.28,-3.0,-3.0,81.0,198.0,3
1314 中石化,2008/12/31,6,606.0,140.0,-5.0,81.0,98.0,24.38,,1.77,-1.95,-0.8,3.59,-2.0,-4.0,85.0,330.0,3
1316 上曜,2008/12/31,7,381.0,6.0,3.0,100.0,62.0,0.74,,0.0,1.78,0.59,0.0,7.0,13.0,0.0,9.0,21
1321 大洋,2008/12/31,6,420.0,42.0,0.0,85.0,81.0,-0.45,,0.15,-0.2,-0.44,1.47,0.0,2.0,30.0,56.0,3
1323 永裕,2008/12/31,6,435.0,18.0,44.0,67.0,64.0,4.16,,2.05,5.41,6.89,4.1,-9.0,-1.0,97.0,22.0,3
1326 台化,2008/12/31,2,573.0,140.0,6.0,65.0,79.0,233.26,,1.65,2.49,-1.3,3.19,-2.0,1.0,79.0,2906.0,3
1413 宏洲,2008/12/31,7,264.0,27.0,-20.0,65.0,76.0,0.06,,0.63,-8.75,-4.11,3.01,-2.0,6.0,51.0,36.0,4
1414 東和,2008/12/31,7,218.0,36.0,-13.0,34.0,83.0,-1.21,,1.72,-3.72,-2.49,3.86,-6.0,-5.0,119.0,40.0,4
1432 大魯閣,2008/12/31,D,-76.0,20.0,-18.0,-7.0,-40.0,2.44,,2.89,-3.4,-10.27,2.94,13.0,3.0,184.0,19.0,18
1442 名軒,2008/12/31,8,538.0,20.0,90.0,51.0,74.0,-2.32,+,3.08,9.19,21.13,3.44,-14.0,-700.0,59.0,17.0,14
1447 力鵬,2008/12/31,6,390.0,102.0,-20.0,51.0,93.0,15.9,,1.33,-12.09,-5.38,4.2,-3.0,-1.0,95.0,207.0,4
1449 佳和,2008/12/31,D,60.0,61.0,-20.0,-13.0,39.0,1.88,,3.37,-6.12,-9.94,5.4,-4.0,-11.0,192.0,65.0,4
1451 年興,2008/12/31,4,472.0,93.0,-6.0,84.0,54.0,11.64,,0.51,-2.45,-3.5,3.28,1.0,3.0,22.0,136.0,4
1452 宏益,2008/12/31,6,422.0,13.0,2.0,100.0,91.0,2.79,,0.02,1.33,1.3,0.0,-4.0,3.0,0.0,19.0,4
1453 大將,2008/12/31,7,387.0,4.0,70.0,70.0,-40.0,0.68,,0.9,8.0,13.12,3.42,-2.0,-3.0,44.0,7.0,4
1456 怡華,2008/12/31,D,3.0,26.0,-20.0,-14.0,53.0,0.0,,3.32,-4.93,-4.48,5.97,-4.0,-6.0,196.0,30.0,4
1457 宜進,2008/12/31,7,328.0,42.0,-5.0,62.0,74.0,1.96,,1.35,-2.09,-1.37,3.49,-2.0,10.0,58.0,47.0,4
1472 三洋紡,2008/12/31,8,181.0,11.0,-20.0,53.0,61.0,-0.31,,1.79,-9.99,-12.97,3.43,-13.0,-10.0,81.0,13.0,4
1475 本盟,2008/12/31,9,-106.0,13.0,-20.0,-37.0,41.0,-0.61,,3.57,-7.91,-11.2,6.39,20.0,5.0,238.0,17.0,4
1477 聚陽,2008/12/31,3,635.0,65.0,53.0,88.0,82.0,9.9,,0.51,8.83,5.36,15.87,3.0,-1.0,4.0,132.0,4
1503 士電,2008/12/31,4,551.0,119.0,30.0,79.0,-13.0,-8.47,+,0.71,3.38,5.48,2.41,-1.0,23.0,49.0,176.0,5
1506 正道,2008/12/31,9,83.0,15.0,-7.0,38.0,-40.0,-0.18,,4.7,-1.91,-0.35,5.92,-12.0,15.0,94.0,14.0,5
1507 永大,2008/12/31,4,630.0,89.0,53.0,100.0,-5.0,3.4,+,0.1,6.43,8.92,3.0,-10.0,-9.0,3.0,120.0,5
1513 中興電,2008/12/31,5,519.0,88.0,34.0,86.0,-17.0,10.22,,0.53,4.43,4.3,3.36,11.0,-11.0,28.0,115.0,5
1515 力山,2008/12/31,7,202.0,38.0,-20.0,40.0,66.0,1.44,,2.34,-7.8,-10.46,3.86,-10.0,3.0,127.0,39.0,5
1516 川飛,2008/12/31,9,320.0,2.0,-20.0,93.0,96.0,-2.48,,0.31,-71.44,-19.15,7.58,-23.0,-65.0,10.0,5.0,20
1521 大億,2008/12/31,5,394.0,21.0,12.0,84.0,64.0,1.2,,0.35,2.69,-0.14,3.18,-2.0,13.0,29.0,29.0,5
1525 江申,2008/12/31,6,428.0,10.0,17.0,100.0,57.0,1.93,,0.0,4.39,-4.24,0.0,-1.0,8.0,0.0,9.0,5
1529 樂士,2008/12/31,D,88.0,7.0,-20.0,58.0,-40.0,0.02,,3.96,-17.16,-69.32,5.18,71.0,195.0,29.0,5.0,5
1532 勤美,2008/12/31,7,443.0,128.0,52.0,24.0,-40.0,1.25,+,3.1,4.77,10.38,3.2,-7.0,-6.0,136.0,181.0,5
1535 中宇,2008/12/31,4,702.0,44.0,76.0,100.0,86.0,0.7,,0.1,13.16,5.39,1.94,-11.0,12.0,15.0,73.0,5
1538 正峰新,2008/12/31,7,354.0,37.0,-20.0,89.0,73.0,0.36,,1.34,-19.17,-10.42,6.41,9.0,-25.0,44.0,45.0,5
1539 巨庭,2008/12/31,7,223.0,11.0,-3.0,66.0,12.0,-0.27,,1.1,-1.41,0.55,2.89,20.0,42.0,77.0,16.0,5
1558 伸興,2008/12/31,4,565.0,17.0,56.0,99.0,66.0,1.52,,0.15,8.64,6.11,4.19,21.0,-8.0,19.0,26.0,5
1560 中砂,2008/12/31,5,458.0,35.0,33.0,77.0,58.0,8.32,,0.89,3.64,7.89,2.58,1.0,-1.0,29.0,33.0,5
1583 程泰,2008/12/31,6,550.0,53.0,84.0,77.0,-40.0,-1.11,+,0.76,10.81,13.5,2.99,-6.0,41.0,57.0,61.0,5
1611 中電,2008/12/31,5,483.0,51.0,7.0,100.0,60.0,6.02,,0.03,1.42,3.45,13.38,16.0,11.0,0.0,49.0,6
1612 宏泰,2008/12/31,4,517.0,51.0,15.0,100.0,71.0,0.04,,0.05,3.31,2.69,3.3,-2.0,-1.0,1.0,69.0,6
1614 三洋電,2008/12/31,4,503.0,51.0,13.0,100.0,61.0,5.59,,0.05,3.26,1.89,7.0,-3.0,8.0,0.0,57.0,6
1618 合機,2008/12/31,6,332.0,32.0,-6.0,73.0,67.0,7.41,,1.45,-3.12,-0.76,3.72,7.0,-2.0,29.0,33.0,6
1701 中化,2008/12/31,6,344.0,44.0,18.0,80.0,-39.0,4.14,,1.23,1.92,7.04,3.67,1.0,23.0,35.0,39.0,22
1707 葡萄王,2008/12/31,5,709.0,17.0,95.0,100.0,90.0,5.02,,0.54,13.67,16.74,5.11,-12.0,-12.0,15.0,21.0,22
1718 中纖,2008/12/31,7,621.0,140.0,8.0,75.0,92.0,37.49,,1.36,0.44,2.45,2.54,-3.0,-10.0,59.0,305.0,21
1721 三晃,2008/12/31,8,197.0,12.0,-11.0,51.0,54.0,-0.71,,1.75,-3.79,-2.62,3.78,-9.0,1.0,104.0,17.0,21
1723 中碳,2008/12/31,3,872.0,57.0,120.0,100.0,99.0,15.23,,0.08,26.87,19.01,3.27,-5.0,-3.0,0.0,86.0,21
1724 台硝,2008/12/31,5,367.0,15.0,2.0,93.0,53.0,-0.12,,0.35,1.19,0.5,2.37,-10.0,13.0,25.0,19.0,21
1726 永記,2008/12/31,3,609.0,59.0,55.0,100.0,27.0,8.95,,0.1,7.36,9.46,2.67,-4.0,9.0,3.0,72.0,21
1732 毛寶,2008/12/31,5,349.0,4.0,1.0,100.0,39.0,0.05,,0.0,0.99,0.31,0.0,-4.0,1.0,0.0,7.0,21
1733 五鼎,2008/12/31,4,620.0,9.0,112.0,100.0,-32.0,2.87,,0.0,18.59,30.26,0.0,4.0,1.0,0.0,12.0,22
1762 中化生,2008/12/31,8,318.0,10.0,76.0,37.0,-40.0,0.75,,4.58,6.86,16.36,3.83,12.0,-36.0,118.0,9.0,22
1786 科妍,2008/12/31,9,36.0,1.0,-20.0,45.0,-40.0,-0.28,,64.59,-27.53,-959.99,4.81,15.0,-210.0,58.0,0.0,22
1805 寶徠,2008/12/31,D,182.0,3.0,-20.0,57.0,65.0,-0.52,,3.77,-17.17,-26.86,5.29,0.0,-6.0,74.0,5.0,14
1902 台紙,2008/12/31,6,382.0,63.0,3.0,81.0,3.0,-4.94,+,1.36,1.63,1.78,3.51,7.0,29.0,46.0,57.0,9
1903 士紙,2008/12/31,6,237.0,36.0,-4.0,72.0,-40.0,4.03,,1.84,-0.58,-3.61,3.07,-1.0,108.0,21.0,23.0,9
1904 正隆,2008/12/31,4,535.0,140.0,9.0,57.0,56.0,44.64,,2.8,1.97,4.28,5.54,2.0,-3.0,89.0,342.0,9
1905 華紙,2008/12/31,4,525.0,77.0,15.0,94.0,44.0,1.58,,0.69,2.06,5.75,4.96,-2.0,31.0,20.0,83.0,9
1907 永豐餘,2008/12/31,4,400.0,140.0,-4.0,24.0,60.0,-4.06,,2.74,-0.49,-0.37,4.17,1.0,6.0,156.0,456.0,9
2002 中鋼,2008/12/31,2,771.0,140.0,74.0,70.0,59.0,214.49,+,0.59,7.45,18.03,2.26,-3.0,-8.0,58.0,3853.0,10
2008 高興昌,2008/12/31,9,74.0,79.0,27.0,-85.0,89.0,6.02,,2.7,3.29,6.02,4.55,-6.0,-8.0,300.0,114.0,10
2013 中鋼構,2008/12/31,6,423.0,99.0,19.0,40.0,47.0,1.49,,0.57,2.76,0.68,2.66,-5.0,-27.0,132.0,198.0,10
2020 美亞,2008/12/31,7,171.0,76.0,2.0,9.0,-13.0,2.46,,2.94,-0.93,3.73,3.86,9.0,48.0,175.0,91.0,10
2025 千興,2008/12/31,7,347.0,45.0,-20.0,74.0,94.0,-0.2,,0.54,-13.74,-5.85,3.89,-1.0,5.0,39.0,73.0,10
2027 大成鋼,2008/12/31,7,223.0,140.0,-20.0,7.0,-18.0,-39.44,,1.92,-9.44,3.82,3.96,-4.0,-27.0,175.0,332.0,10
2028 威致,2008/12/31,D,148.0,79.0,-20.0,-15.0,95.0,23.33,,1.08,-6.32,-0.01,4.52,-20.0,-31.0,207.0,150.0,10
2034 允強,2008/12/31,5,595.0,101.0,2.0,100.0,87.0,25.84,,0.34,1.28,1.82,2.99,-5.0,-12.0,30.0,245.0,10
2049 上銀,2008/12/31,6,534.0,65.0,90.0,40.0,16.0,8.63,,2.0,9.22,17.39,2.92,-8.0,5.0,134.0,64.0,5
2059 川湖,2008/12/31,4,756.0,26.0,120.0,100.0,44.0,10.28,,1.0,20.92,34.4,2.85,-9.0,-4.0,34.0,26.0,28
2062 橋椿,2008/12/31,5,567.0,49.0,42.0,95.0,59.0,6.96,,0.52,6.06,6.71,3.63,14.0,-24.0,20.0,62.0,20
2103 台橡,2008/12/31,4,930.0,140.0,94.0,94.0,86.0,36.23,,1.0,15.3,12.77,4.74,-1.0,-10.0,47.0,310.0,11
