company,content,date
2331 精英,（  ）積極搶攻電信業自有品牌小筆電市場宣告開花結果。  主管表示，  近期拿下遠傳（4904）自有品牌小筆電訂單，預計第二、三季出貨；諾基亞（Nokia）自有品牌小筆電代工訂單也正在談，可望本季就會捎來喜訊。  主機板廠近來在小筆電市場斬獲不少，先是傳出微星（2377）有機會打入中國移動供應鏈；  近日接續告捷，不但遠傳訂單在手，更有望成為歐洲電信大廠諾基亞的代工廠商。  是大同（2371）轉投資事業，寶成（9904）也是  的大股東。  主管說，今年以來隨景氣觸底反彈，  出貨量也逐月攀升，在主機板方面，3月出貨片數攀升至172萬片，較2月增加約36.81%。  在營收部分，  統計3月營收55.2億元，較2月成長68.69%，合併營收73.6億元，也較2月成長33.19%。  股價近期走高，上周五亮燈漲停，再創波段新高，終場上漲0.75元，收12.05元。  在小筆電市場方面，近來國內電信業者相繼規劃進軍自有品牌市場，遠傳與台灣大（3045）都要推出自有品牌小筆電。  先前10吋的G10IL機種即與遠傳合作，推出「迷你筆電加無線飆網」的方案；據了解，遠傳今年下半年將推出放上自己Logo的自有品牌小筆電，已確定由  代工，新型小筆電可望於第二、第三季出貨，數量初期約數千台規模。  在國外市場，  也正在全力爭取代工諾基亞的自有品牌小筆電，諾基亞不僅是知名手機製造商，同時在歐洲數個國家中也是電信營運商，類似國內中華電的角色，諾基亞大舉進軍自有品牌小筆電後，後續潛力不容小覷。  相關人士表示，  未來拿下諾基亞自有品牌小筆電代工訂單的機率頗高，預計本季就會有結果，  並預計4、5月發表新款小筆電，一旦與諾基亞合作拍板定案，可望在第三、第四季出貨。  展望第二季，法人指出，雖然主機板景氣進入淡季，但筆記型電腦（NB）市場邁入旺季，  第二季營收應會與第一季持平，但因首季仍有客戶砍存貨，若急單效應延續到第二季，  第二季業績表現應會比第一季好。  此外，  目前也成立「前瞻通訊產品事業部」，在阿爾卡特（Alcatel）號召下跨足WiMax產品領域，在幫Alcatel研發設計通訊新產品，包括MID、數據機卡等，今年將有機會出貨給通訊客戶。  業者表示，主機板廠第一季受惠通路庫存回補，出貨狀況都不差，華碩（2357）、技嘉（2376）與微星（2377）等首季出貨都比去年第四季回溫，  表現更是亮麗，3月出貨量再攀升至172萬片。  ,2009/04/13
2331 精英,（  ）營運出現大轉機，新任總經理許志宏昨（7）日上任，  將再搶下大陸第二階段家電下鄉大單，加上與遠傳（4904）合作小筆電，由於中國移動即將入股遠傳，法人看好  可順勢打入中國移動供應鏈。  表示，董事會通過聘任許志宏出任總經理，即日起上任。許志宏曾任職美國R&D、戴爾、廣達及歐洲Stumpf AG等企業，在資訊領域有20年豐富經驗。  指出，將借重許志宏的技術實力、業界經驗及管理能力，帶領  邁向下一階段高峰。據了解，搶下大陸家電下鄉大單、打入中國移動供應鏈，是  當前首要目標。  據了解，  4月營收可望與3月持平，維持高檔水準，在業績持續增溫下，近期股價走高，昨天上漲0.35元，收12.15元，在主機板族群中表現耀眼，今天有望突破12.6元波段最高點。  首季獲利大躍進，單季營業利益較去年同期激增3.36倍，  董事長林郭文豔表示，主機板、DT、NB三大產品均新接獲訂單，下半年持續成長「不是問題」，有機會搶下大陸家電下鄉的筆電訂單。  母公司大同（2371）集團董事長林蔚山透露，第一階段大陸家電下鄉帶動液晶電視成長，第二階段的家電下鄉政策，可望帶動筆電出貨成長。  深耕大陸多年，「很有機會」受惠。林郭文豔指出，大同集團旗下大同電信正考慮推出自有品牌小筆電，  列為考量的合作對象。  法人指出，  去年起即與遠傳合作推出小筆電方案，在大陸中國移動與遠傳宣布合作協定，將認購遠傳12%股權後，未來  可望順利切入中國移動的供應鏈，帶動筆電、小筆電出貨大躍進。  在小筆電方面，  除與遠傳合作搭售案，也獲英國等歐洲業者貼牌訂單，G10IL及J系列出貨就約15萬台。  2008年NB出貨約300萬台，預計2009年在Netbook加持下，將衝至350萬台。  今年接單情形屢有斬獲，主機板、桌上型電腦、小筆電皆有新訂單，第二季成長性樂觀。  法人預估，  今年筆記本型（NB）的出貨量上看350萬台，年增率二成。  在主機板族群陸續發布季報後，微星（2377）、  的表現大異其趣，微星第一季每股虧損0.54元，昨天股價以19.95元作收。  每股稅後純益0.17元，在財報亮眼激勵下，已展開向上比價。  ,2009/05/08
2331 精英,（  ）受惠大陸山寨熱潮，今年筆記型電腦（NB）出貨量可望大增，配合台股破底翻，上周股價上漲5.26% ，周五收在7.6元，本月以來股價波段漲幅已超過兩成。  2 月合併營收55.3億元，較元月成長三成；另外在中國家電下鄉帶動下，2 月主機板海內外出貨量約126萬片，較元月增加14.8%。  ,2009/03/15
2331 精英,英特爾第二代學生電腦（Classmate PC）將在美國消費性電子展（CES）中亮相，採用Atom處理器，並加入可旋轉的觸控螢幕，當作手寫平板電腦，將首度委由廣達（2382）代工，與  （  ）並列學生電腦代工廠商。  學生電腦鎖定教育和青少年市場，與目前華碩易PC等低價小筆電（Netbook）進行市場區隔。  原本英特爾學生電腦以  為獨家代工廠商，在進入第二代仍延續與  的合作關係，但在具有可旋轉螢幕的機種，則是交由廣達代工。  第二代學生電腦與前代產品不同處在於，改用低耗電Atom處理器，Windows XP作業系統、60GB硬碟，外型分為兩種，其一是現有筆記型外觀產品，另一則是可旋轉觸控螢幕，前者由  代工，後者則由廣達代工。  ,2009/01/07
2331 精英,包括台灣的威邁思、威達超舜、全球一動等全球WiMAX業者將陸續在下半年商轉服務，將帶動WiMAX終端產品商機爆發，包括宏碁（2353）、正文（4906）等都會推出新終端產品，正文、合勤（2391）、建漢（3062）等網通廠將直接受惠。  今年台北國際電腦展將與WiMAX一起舉辦，由於下半年將進入WiMAX開台旺季，使今年WiMAX與通訊產品攤位規模達700個，較去年250個增加1.8倍。據了解，除了WiMAX終端產品，現場將展出全球最小、重量不到200公克的WiMAX MID（手持式裝置）以及WiMAX數位電視等，是由米迪亞生產，微星（2377）也會推出WiMAX小筆電，  （  ）也會有WiMAX手機的雛型機。  WiMAX今年會測試在捷運行進時的使用情況，由於捷運時速在80至90公里，正符合WiMAX可表現的速率，因此將由威邁思在木柵線上展示試用的情況。  在台灣WiMAX營運商大同電信、全球一動、威達超舜與威邁思中，大同已在澎湖開台、7月會在高雄開台，其餘業者多半集中在今年第三、四季陸續開台，因此可望帶動一股終端設備的採購商機。  根據資策會MIC最新報告顯示，今年第一季台灣WiMAX終端設備出貨量達26.4萬台，維持前一季出貨水準，行動式16e的產品是出貨主力，主要是受到產品相容性及新年度標案的影響。預估第二季出貨量將成長至41.3萬台，而第三季的出貨量將再提升為48.5萬台。第二季成長動能來自全球WiMAX網路布建完成，業者開始推出服務，例如日本UQ、馬來西亞Packet One等業者，同時新興市場的WiMAX營運商需求也將會帶動WiMAX終端設備的成長。  ,2009/05/25
2331 精英,仁寶（2324）董事長許勝雄昨（20）日表示，隨著往來大廠聯想、戴爾、惠普擴大在大陸出貨，將增加仁寶的筆記型電腦（NB）出貨量；大同（2371）集團董事長林蔚山也說，旗下  電腦（  ）在第二波大陸家電下鄉中，也有接單的好機會。  昨日出席三三會的許勝雄、林蔚山、東元集團會長黃茂雄，及聲寶集團董事長陳盛泉等資訊、家電大廠負責人，都相當肯定大陸以擴大內需，來帶動經濟成長的效益，並會讓台灣廠商受惠。  繼汽車、家電下鄉後，大陸將在北京、上海等九個省市，試行家電及汽車進城政策，鼓勵「以舊換新」，換購汽車及家電、個人電腦。預估帶動至少人民幣700億元（約新台幣3 500億元）的新增消費需求。  許勝雄指出，大陸新一波的電腦舊換新、來台擴大採購等商機，仁寶NB隨著往來出貨大廠的數量增加，也跟著成長。  林蔚山則說：「旗下有華映（2475）的面板，可供應32吋、37吋液晶電視所需，公家單位以投標、民間廠商則以議價方式來爭取。  電腦也有PC、NB、小筆電、網路卡等來接單。大陸來台採購象徵友好關係，但在接單仍是競爭激烈。」  黃茂雄認為，東元在大陸青島有壓縮機工廠、南昌有空調廠、廈門有液晶電視廠、吳錫有中大型馬達廠，都是大陸家電下鄉所需要的產品及關鍵零組件，東元將會掌握大陸擴大內需、振興經濟的龐大需求，全力爭取商機。  陳勝泉則強調，「聲寶集團在大陸有冰箱工廠，可以就近、直接在大陸與當地家電大廠洽商家電下鄉的商機。」  ,2009/05/21
2331 精英,大同（2371）本月底將成立大同快速維修中心，由董事長林蔚山主持，以強化旗下大同訊電服務結合銷售的優勢。大同訊電預估今年營收可達100億元，二年後上市櫃，成為大同十虎成員。  大同昨（23）日指出，6月30日將成立「大同快速維修中心」，先在北部成立五至六家，全年將有20家。大同訊電是大同100%持有，並負責經營大同3C，占大同訊電營收比六至七成，但比重還在升高中。  林蔚山規劃大同訊電為「大同十虎、兩岸奔騰」的成員。大同集團已有大同、華映（2475）、福華（8085）、大同世界科技（8099）、  （  ）、綠能（3519）及興櫃的尚志半導體（3579）等七家公司在掛牌。尚志精密化學將在明年中上市櫃，大同訊電預定二年後掛牌。  大同訊電的5月營收6.63億元，比4月成長23%，在強化多品牌銷售及中大型持續展店策略下，今年營收將突破100億元。大同訊電6月營收在冷氣、冰箱、洗衣機等大家電銷售成長，小家電、液晶電視也有不錯業績，預估營收會比5月成長。  ,2009/06/24
2331 精英,證交所昨（9）日召開指數編製委員會，近期股價飆漲的勝華（2384），因市值大幅提升，被證交所新列入台灣中型100指數成分股；認購權證熱門標的股的台船（2208）也新列入成分股，自4月20日起生效。  證交所表示，台灣50指數成分股這次沒有變動，五檔候補成分股則為華亞科（3474）、可成（(2474）、裕民（2606）、旺宏（2337）、華航（2610）等，自今（10）日起生效。  臺灣中型100指數成分股新納入台船、勝華兩檔，刪除遠東商銀（2845）、大眾銀（2847）兩檔。  新增的台船、勝華是因總市值排名上升到第130名以上。  被刪除的大眾銀則因總市值排名下降到第171名以下；因納入的成分股數目多於刪除數目，另將台灣中型100指數成分股中總市值排行最低的遠東銀刪除。  台灣中型十檔候補成分股為錸德（2349）、國巨（2327）、義隆（2458）、華票（2820）、技嘉（2376）、瑞儀（6176）、信義房屋（9940）、佳能（2374）、興富發（2542）、  （  ）等。  ,2009/04/10
2331 精英,主機板（MB）族群中，微星（2377）上半年營收與獲利成長幅度將躍居首位，第二季筆記型電腦（NB）及小筆電（Netbook）出貨可望較首季成長四成，技嘉（2376）、  （  ）則表現持平。  7月中旬以後，季報、半年報將陸續出爐，財報題材躍居焦點，MB族群因急單挹注、業績增溫，法人預期整體表現可期，微星、技嘉、  等個股昨（7）日股價走高，分別收在21.75元、20.25元及10.75元。  根據法人研究報告，微星第二季營收將達204.51億元。推算微星6月營收可望衝高至88億元，營收逐月走高，表現耀眼。  富邦證券表示，微星第一季因NB類產品清理庫存，出貨量較去年第四季下滑達五成，占營收比重下滑至不及三成，導致第一季出現虧損的局面。但第二季因NB及小筆電產品可望較第一季成長四成，帶動營收與獲利回升。  富邦證券預估，微星第二季營收為204.51億元，季成長約9%，毛利率在NB類比重上揚下，將較第一季明顯走揚，估計為11.1%，稅後純益3.76億元，每股稅後純益0.37元。  第三季是市場傳統旺季，市場認為，微星第三季主機板、繪圖卡及NB的出貨數量，將持續攀升，有機會較第二季成長逾兩成。  微星旗下的筆電與小筆電涵蓋高階至入門機種，Netbook機種除與台灣的電信業者合作，更獲中國移動的訂單，預估出貨量將逐漸顯現，CULV機種X340則已獲得LG及部分區域業者的代工訂單。  技嘉表示，預計7月中旬舉行CULV筆電發表會，但上市會等到8月，將主攻自有品牌市場。技嘉預估，今年NB出貨量將成長三倍、上看50萬台，但在景氣回溫下，全年出貨量有機會擴大。  技嘉指出，上半年因客戶受金融風暴衝擊，下單不如預期，預期第三季銷量將增長，「下半年銷量將是全年的七至八成」。而目前的能見度已到7月底，全年筆電出貨量預估會將較去年倍數成長。  至於  方面，旗下的CULV筆電機種日前在台北國際電腦展中發表。  說，目前正與客戶接洽，希望第三季開始出貨。  2008年NB出貨300萬台，2009年在Netbook加持下，以400萬台出貨量為目標。  跨足NB市場，  董事長林郭文艷在今年股東會中預估，今年NB比去年成長15%，且  出貨機種多元，大小筆電都有。  的NB鎖定二線白牌客戶，包括大陸及拉丁美洲等地通路品牌。  ,2009/07/08
2331 精英,主機板（MB）雙雄華擎（3515）與技嘉（2376）今年配發的現金股息殖利率，居MB族群冠、亞軍，分別高達8.21%與5.24%，配合第三季起邁入產業旺季、新產品將放量出貨，MB雙雄引動的類股除權息行情正蓄勢待發。  台股進入除權息旺季，高殖利率概念股引領風騷，配合MB市況回溫、業者新款筆記型電腦（NB）接續出貨，華擎、技嘉兩大廠6月營收有機會持續走揚，導致近期股價蠢動，華擎昨（30）日上漲0.5元、收97.5元，坐穩MB股王寶座，技嘉漲0.2元、收19.15元。  法人指出，由於客戶回補庫存效應持續，加上市場需求回升的急單挹注，MB族群第二季業績淡季不淡，第三季除是產業旺季外，也是除權息的密集期，MB個股因享有低本益比、高殖利率優勢，除權息行情備受矚目。  統計所有MB族群中，在今年股利政策的現金股息殖利率部分，以華擎8.21%與技嘉5.24%名列一、二，環電（2350）、  （  ）、微星（2377）等殖利率也都超過2%。  進一步觀察現金股息，也由華擎的8元奪冠，技嘉1元居次，微星、環電、  等MB廠今年現金息息發放則在1元以下。  華擎5月營收年增率成長逾倍，近期股價一度突破百元，過去專注中低價MB市場，為擴大生存空間，今年3月宣布進軍品牌NB等領域，近期亦切入智慧監控系統的新藍海市場。  華擎自有品牌NB已接續出貨，主攻拉丁美洲、中南美、東歐等新興市場。華擎表示，NB產品將鎖定400多美元的價格帶，全數由和碩代工，成本競爭力可望優於二線NB廠。  技嘉方面，技嘉內部原先認為，今年NB出貨量將成長三倍、上看50萬台，但在景氣回溫下，接單暢旺，全年出貨量還會進一步擴大。  ,2009/07/01
2331 精英,（  ）首季獲利大躍進，單季營業利益較去年同期激增3.36倍，  董事長林郭文豔表示，  三大產品均有新接獲訂單，下半年持續成長「不是問題」，並有機會搶下大陸第二階段家電下鄉的筆電訂單。  昨（28）日公告第一季財報，單季營業利益2.05億元，較去年同期大幅成長3.36倍，稅後純益2億元，年增率逾21%，每股純益0.17元。  今年以來的接單，屢有斬獲，主機板、桌上型電腦、小筆電皆有新訂單挹進，法人預估，  今年NB出貨量上看350萬台，年增率為二成。  主機板族群陸續發布季報，目前已公告的微星（2377）、  ，表現大異其趣，微星第一季每股虧損0.54元，昨天收19.65元。  ,2009/04/29
