Unnamed: 0,content,stars,title,status
0,"不知道耶! 看完整個無感
有種覺得就是女兒""給蕭""害死了老爸
然後...既然可以搭飛機離開
那一開始為什麼不搭飛機進去就好?
然後島就那麼一丁點大，人在那邊待了七年了，即使沒有拿到答案，也沒辦法發現那個入口嗎??
總覺得有點扯就是了~~
然後可能片長太長了，古墓裡的機關...也感覺太好過了的感覺...",3,古墓奇兵,soso
1,很好看的動作片，不會浪費錢跟時間。很久沒有這樣的探險片。可說是女版的印第安那瓊。女主角跟爸爸還有反派都演得到位。陸任的男配角常在港片看到，很帥。一時忘了名字。希望有續集。,5,古墓奇兵,good
2,說這個不好看的話，那我還真不知道，還有什麼片是您可以去看得了。電影好看，但話說羅拉有裝可以撿，你怎麼硬要拿弓箭??,5,古墓奇兵,good
3,父女重逢真的很讓人感動，五顆星。,5,古墓奇兵,good
4,劇情雖然老套，但仍拍出新意，古墓能殺人的方式不就是機關和毒，要求亂七八糟的觀眾，你看喪尸片看多了。,4,古墓奇兵,good
5,每個演員都長得像路人，劇情解謎上都沒有作一些鋪陳，以致於每個謎題只有主角轉一轉就都破解了，覺得導員說故事的功力還不夠。,2,古墓奇兵,bad
6,"實在是好看還想再看一次

給5顆星都不夠",5,古墓奇兵,good
7,說好看的，我請問你們，女主角腳受傷綁繃帶，肚子又被捅個鐵條，睡一晚，奔跑，打架樣樣來。那病毒那麼毒，光摸到就死，那屍體的灰吸入就沒事？？當觀眾是智障嗎？說好看的不要再騙人花錢進戲院了好嗎？,1,古墓奇兵,bad
8,"覺得不少地方想吐槽
明顯有更好的處理方式
結果用了不好的方式處理
過程中常常跟朋友小小吐槽一下
看完跟朋友的想法是
我們怎麼是選這片...不是有黑豹這選擇嗎?",3,古墓奇兵,soso
9,超好看 古墓那邊氣氛很棒 很喜歡這種 精彩,5,古墓奇兵,good
10,我也覺得非常精彩!!大推大家到電影院看!!,5,古墓奇兵,good
11,看到評價不高  本來不帶太大希望  但看了之後真心覺得不錯看  這種片不看  是還要被多少瞎片騙錢,5,古墓奇兵,good
12,還不錯看，可惜後面到古墓內就差了點,4,古墓奇兵,good
13,很好看呀，很推，很值得去電影院看，很喜歡吳彥祖，雖然戲份不多，但很好看,5,古墓奇兵,good
14,"看大家的評價都不太好，本來沒要看的～
但看完之後覺得明明就很好看、很精彩，女主角也很美！比玩命颶風好看多了，颶風灌水灌的太扯！怒",5,古墓奇兵,good
15,"有玩過2013年古墓奇兵

看起來挺有味道~但劇情卻沒電玩精彩~

太可惜了!!",3,古墓奇兵,soso
16,我覺得很好看啊。從頭到尾無冷場。女主角也有屬於自己的特色。然後吳彥祖很帥。,5,古墓奇兵,good
17,"大爛片~
我到底是在看""電影""，還是在看ARPG??
劇情超爛，也不精彩",1,古墓奇兵,bad
18,最喜歡羅拉在瀑布上的飛機殘骸裡的場景， 真的捏了一把冷汗，超緊張刺激的。,3,古墓奇兵,soso
19,不錯看啊！沒什麼失望的地方、簡單.俐落.逼真.不科幻,5,古墓奇兵,good
20,好看極了 比前版好看刺激 主角演技到位,5,古墓奇兵,good
21,頭重腳輕，前面鋪沒必要的梗太長，壓縮到後面真正該表現古墓的精華，敗筆其一，沒事去改主架構設定，主角職業和身家背景，還讓主角和XX重逢，敗筆其二，而且這個敗筆感覺會影響後面劇本的撰寫，會重蹈惡靈古堡的覆轍整個歪掉的感覺，整體來說劇情安排手法還差上電玩一大截，應該直接找電玩的編劇和導演來比較快...唯一把電影救回來的應該是女主角賣力的演出~~~,3,古墓奇兵,soso
22,劇情有稍作修改，導演有放心思在裡面，跟上一步的古墓奇兵比有不一樣的味道,5,古墓奇兵,good
23,看完覺得很空虛，沒甚麼特別的劇情,2,古墓奇兵,bad
24,先是上來看了大家的留言 本來擔心不好看作罷 但男友堅持還是去親眼看看 看了美麗華IMAX 3D 結果我們兩個都覺得沒有很難看呀 比我們預期的好 只能說大家的口味都不見得相同 呵呵,5,古墓奇兵,good
25,"很可惜, 女主角是真的付出很多, 演得也很認真, 但全片從香港出海之後就整個弱掉沒FU了, 後面完全就是畫面沒有電影...",3,古墓奇兵,soso
26,"也許有人會覺得故事線太簡單，但我個人覺得相當明快流暢
不是走影迷型的電影，而是闔家歡樂型
主角在打鬥上沒有特別OP，感覺很真實
整體氛圍營造的不錯",5,古墓奇兵,good
27,很難看，不符合邏輯的超多，看得超痛苦,1,古墓奇兵,bad
28,難看啊 不要再拍續集了 女主角完全撐不起蘿拉的角色.,1,古墓奇兵,bad
29,雖然劇情上很一般，但動作爽度破表~沒有冷場，超喜歡女主角的，很認真拍這部片,5,古墓奇兵,good
30,"替女主角賣力演出加分!!
古墓裡機關，可以再加強些!",4,古墓奇兵,good
31,超級棒的電影🎬，我的感覺⋯⋯比颶風那部電影不上不下好看太多了；好棒好棒好棒，要說3次^_^真的好看！,5,古墓奇兵,good
32,"Not bad, 基本上就是商業片ㄧ枚，希望出2時可以更好看",4,古墓奇兵,good
